column_name,question_text,qualtrics_string,bird_id,new_column_name
StartDate,Start Date,"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}",NA,StartDate
EndDate,End Date,"{""ImportId"":""endDate"",""timeZone"":""America/Denver""}",NA,EndDate
Status,Response Type,"{""ImportId"":""status""}",NA,Status
IPAddress,IP Address,"{""ImportId"":""ipAddress""}",NA,IPAddress
Progress,Progress,"{""ImportId"":""progress""}",NA,Progress
Duration (in seconds),Duration (in seconds),"{""ImportId"":""duration""}",NA,Duration
Finished,Finished,"{""ImportId"":""finished""}",NA,Finished
RecordedDate,Recorded Date,"{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}",NA,RecordedDate
ResponseId,Response ID,"{""ImportId"":""_recordId""}",NA,ResponseId
RecipientLastName,Recipient Last Name,"{""ImportId"":""recipientLastName""}",NA,RecipientLastName
RecipientFirstName,Recipient First Name,"{""ImportId"":""recipientFirstName""}",NA,RecipientFirstName
RecipientEmail,Recipient Email,"{""ImportId"":""recipientEmail""}",NA,RecipientEmail
ExternalReference,External Data Reference,"{""ImportId"":""externalDataReference""}",NA,ExternalReference
LocationLatitude,Location Latitude,"{""ImportId"":""locationLatitude""}",NA,LocationLatitude
LocationLongitude,Location Longitude,"{""ImportId"":""locationLongitude""}",NA,LocationLongitude
DistributionChannel,Distribution Channel,"{""ImportId"":""distributionChannel""}",NA,DistributionChannel
UserLanguage,User Language,"{""ImportId"":""userLanguage""}",NA,UserLanguage
Q39,"Paste your unique Prolific ID code below and click ""Next"" to go on to the survey","{""ImportId"":""QID43_TEXT""}",NA,prolific_id
Q16,"If you agree, please click the statement below, then hit next to move on.","{""ImportId"":""QID20""}",NA,Q16
Q31_5,"To start, please tell us how much you think you know about wild birds: - .","{""ImportId"":""QID35_5""}",NA,self_rate_bird_knowledge
Q40_5,How much do you pay attention to wild birds in your everyday life? - .,"{""ImportId"":""QID44_5""}",NA,attention_paid_to_birds
Q22,"Do you live in a city, a suburb, or a rural area?","{""ImportId"":""QID26""}",NA,neighborhood_type
Q41,What country do you live in?,"{""ImportId"":""QID45""}",NA,country
Q32,What state or province do you live in?,"{""ImportId"":""QID36_TEXT""}",NA,state_province
Q23_First Click,Timing - First Click,"{""ImportId"":""QID27_FIRST_CLICK""}",NA,Q23_First Click
Q23_Last Click,Timing - Last Click,"{""ImportId"":""QID27_LAST_CLICK""}",NA,Q23_Last Click
Q23_Page Submit,Timing - Page Submit,"{""ImportId"":""QID27_PAGE_SUBMIT""}",NA,Q23_Page Submit
Q23_Click Count,Timing - Click Count,"{""ImportId"":""QID27_CLICK_COUNT""}",NA,Q23_Click Count
Q21,"List as many wild bird names as you can in the next 30 seconds. Please list each bird on its own line, like this:
Bird 1Bird 2Etc.","{""ImportId"":""QID25_TEXT""}",NA,generated_bird_list
11_Q30,aldfly - What is the name of this bird?,"{""ImportId"":""11_QID34_TEXT""}",aldfly,bird_name_guess.aldfly
11_Q38_19,Have you ever seen a live bird of this kind outside of a zoo/museum? - aldfly - .,"{""ImportId"":""11_QID42_19""}",aldfly,bird_seen_before.aldfly
12_Q30,amecro - What is the name of this bird?,"{""ImportId"":""12_QID34_TEXT""}",amecro,bird_name_guess.amecro
12_Q38_19,Have you ever seen a live bird of this kind outside of a zoo/museum? - amecro - .,"{""ImportId"":""12_QID42_19""}",amecro,bird_seen_before.amecro
13_Q30,amegfi - What is the name of this bird?,"{""ImportId"":""13_QID34_TEXT""}",amegfi,bird_name_guess.amegfi
13_Q38_19,Have you ever seen a live bird of this kind outside of a zoo/museum? - amegfi - .,"{""ImportId"":""13_QID42_19""}",amegfi,bird_seen_before.amegfi
14_Q30,amekes - What is the name of this bird?,"{""ImportId"":""14_QID34_TEXT""}",amekes,bird_name_guess.amekes
14_Q38_19,Have you ever seen a live bird of this kind outside of a zoo/museum? - amekes - .,"{""ImportId"":""14_QID42_19""}",amekes,bird_seen_before.amekes
15_Q30,amered - What is the name of this bird?,"{""ImportId"":""15_QID34_TEXT""}",amered,bird_name_guess.amered
15_Q38_19,Have you ever seen a live bird of this kind outside of a zoo/museum? - amered - .,"{""ImportId"":""15_QID42_19""}",amered,bird_seen_before.amered
16_Q30,amerob - What is the name of this bird?,"{""ImportId"":""16_QID34_TEXT""}",amerob,bird_name_guess.amerob
16_Q38_19,Have you ever seen a live bird of this kind outside of a zoo/museum? - amerob - .,"{""ImportId"":""16_QID42_19""}",amerob,bird_seen_before.amerob
17_Q30,anhing - What is the name of this bird?,"{""ImportId"":""17_QID34_TEXT""}",anhing,bird_name_guess.anhing
17_Q38_19,Have you ever seen a live bird of this kind outside of a zoo/museum? - anhing - .,"{""ImportId"":""17_QID42_19""}",anhing,bird_seen_before.anhing
18_Q30,annhum - What is the name of this bird?,"{""ImportId"":""18_QID34_TEXT""}",annhum,bird_name_guess.annhum
18_Q38_19,Have you ever seen a live bird of this kind outside of a zoo/museum? - annhum - .,"{""ImportId"":""18_QID42_19""}",annhum,bird_seen_before.annhum
19_Q30,arcter - What is the name of this bird?,"{""ImportId"":""19_QID34_TEXT""}",arcter,bird_name_guess.arcter
19_Q38_19,Have you ever seen a live bird of this kind outside of a zoo/museum? - arcter - .,"{""ImportId"":""19_QID42_19""}",arcter,bird_seen_before.arcter
20_Q30,baleag - What is the name of this bird?,"{""ImportId"":""20_QID34_TEXT""}",baleag,bird_name_guess.baleag
20_Q38_19,Have you ever seen a live bird of this kind outside of a zoo/museum? - baleag - .,"{""ImportId"":""20_QID42_19""}",baleag,bird_seen_before.baleag
21_Q30,barswa - What is the name of this bird?,"{""ImportId"":""21_QID34_TEXT""}",barswa,bird_name_guess.barswa
21_Q38_19,Have you ever seen a live bird of this kind outside of a zoo/museum? - barswa - .,"{""ImportId"":""21_QID42_19""}",barswa,bird_seen_before.barswa
22_Q30,bcnher - What is the name of this bird?,"{""ImportId"":""22_QID34_TEXT""}",bcnher,bird_name_guess.bcnher
22_Q38_19,Have you ever seen a live bird of this kind outside of a zoo/museum? - bcnher - .,"{""ImportId"":""22_QID42_19""}",bcnher,bird_seen_before.bcnher
23_Q30,belkin1 - What is the name of this bird?,"{""ImportId"":""23_QID34_TEXT""}",belkin1,bird_name_guess.belkin1
23_Q38_19,Have you ever seen a live bird of this kind outside of a zoo/museum? - belkin1 - .,"{""ImportId"":""23_QID42_19""}",belkin1,bird_seen_before.belkin1
24_Q30,bkbcuc - What is the name of this bird?,"{""ImportId"":""24_QID34_TEXT""}",bkbcuc,bird_name_guess.bkbcuc
24_Q38_19,Have you ever seen a live bird of this kind outside of a zoo/museum? - bkbcuc - .,"{""ImportId"":""24_QID42_19""}",bkbcuc,bird_seen_before.bkbcuc
25_Q30,bkcchi - What is the name of this bird?,"{""ImportId"":""25_QID34_TEXT""}",bkcchi,bird_name_guess.bkcchi
25_Q38_19,Have you ever seen a live bird of this kind outside of a zoo/museum? - bkcchi - .,"{""ImportId"":""25_QID42_19""}",bkcchi,bird_seen_before.bkcchi
26_Q30,bknsti - What is the name of this bird?,"{""ImportId"":""26_QID34_TEXT""}",bknsti,bird_name_guess.bknsti
26_Q38_19,Have you ever seen a live bird of this kind outside of a zoo/museum? - bknsti - .,"{""ImportId"":""26_QID42_19""}",bknsti,bird_seen_before.bknsti
27_Q30,blkvul - What is the name of this bird?,"{""ImportId"":""27_QID34_TEXT""}",blkvul,bird_name_guess.blkvul
27_Q38_19,Have you ever seen a live bird of this kind outside of a zoo/museum? - blkvul - .,"{""ImportId"":""27_QID42_19""}",blkvul,bird_seen_before.blkvul
28_Q30,blueth - What is the name of this bird?,"{""ImportId"":""28_QID34_TEXT""}",blueth,bird_name_guess.blueth
28_Q38_19,Have you ever seen a live bird of this kind outside of a zoo/museum? - blueth - .,"{""ImportId"":""28_QID42_19""}",blueth,bird_seen_before.blueth
29_Q30,blugrb1 - What is the name of this bird?,"{""ImportId"":""29_QID34_TEXT""}",blugrb1,bird_name_guess.blugrb1
29_Q38_19,Have you ever seen a live bird of this kind outside of a zoo/museum? - blugrb1 - .,"{""ImportId"":""29_QID42_19""}",blugrb1,bird_seen_before.blugrb1
30_Q30,blujay - What is the name of this bird?,"{""ImportId"":""30_QID34_TEXT""}",blujay,bird_name_guess.blujay
30_Q38_19,Have you ever seen a live bird of this kind outside of a zoo/museum? - blujay - .,"{""ImportId"":""30_QID42_19""}",blujay,bird_seen_before.blujay
31_Q30,bnhcow - What is the name of this bird?,"{""ImportId"":""31_QID34_TEXT""}",bnhcow,bird_name_guess.bnhcow
31_Q38_19,Have you ever seen a live bird of this kind outside of a zoo/museum? - bnhcow - .,"{""ImportId"":""31_QID42_19""}",bnhcow,bird_seen_before.bnhcow
32_Q30,brebla - What is the name of this bird?,"{""ImportId"":""32_QID34_TEXT""}",brebla,bird_name_guess.brebla
32_Q38_19,Have you ever seen a live bird of this kind outside of a zoo/museum? - brebla - .,"{""ImportId"":""32_QID42_19""}",brebla,bird_seen_before.brebla
33_Q30,brnpel - What is the name of this bird?,"{""ImportId"":""33_QID34_TEXT""}",brnpel,bird_name_guess.brnpel
33_Q38_19,Have you ever seen a live bird of this kind outside of a zoo/museum? - brnpel - .,"{""ImportId"":""33_QID42_19""}",brnpel,bird_seen_before.brnpel
34_Q30,brwhaw - What is the name of this bird?,"{""ImportId"":""34_QID34_TEXT""}",brwhaw,bird_name_guess.brwhaw
34_Q38_19,Have you ever seen a live bird of this kind outside of a zoo/museum? - brwhaw - .,"{""ImportId"":""34_QID42_19""}",brwhaw,bird_seen_before.brwhaw
35_Q30,buggna - What is the name of this bird?,"{""ImportId"":""35_QID34_TEXT""}",buggna,bird_name_guess.buggna
35_Q38_19,Have you ever seen a live bird of this kind outside of a zoo/museum? - buggna - .,"{""ImportId"":""35_QID42_19""}",buggna,bird_seen_before.buggna
36_Q30,calqua - What is the name of this bird?,"{""ImportId"":""36_QID34_TEXT""}",calqua,bird_name_guess.calqua
36_Q38_19,Have you ever seen a live bird of this kind outside of a zoo/museum? - calqua - .,"{""ImportId"":""36_QID42_19""}",calqua,bird_seen_before.calqua
37_Q30,cangoo - What is the name of this bird?,"{""ImportId"":""37_QID34_TEXT""}",cangoo,bird_name_guess.cangoo
37_Q38_19,Have you ever seen a live bird of this kind outside of a zoo/museum? - cangoo - .,"{""ImportId"":""37_QID42_19""}",cangoo,bird_seen_before.cangoo
38_Q30,categr - What is the name of this bird?,"{""ImportId"":""38_QID34_TEXT""}",categr,bird_name_guess.categr
38_Q38_19,Have you ever seen a live bird of this kind outside of a zoo/museum? - categr - .,"{""ImportId"":""38_QID42_19""}",categr,bird_seen_before.categr
39_Q30,cedwax - What is the name of this bird?,"{""ImportId"":""39_QID34_TEXT""}",cedwax,bird_name_guess.cedwax
39_Q38_19,Have you ever seen a live bird of this kind outside of a zoo/museum? - cedwax - .,"{""ImportId"":""39_QID42_19""}",cedwax,bird_seen_before.cedwax
40_Q30,comgal1 - What is the name of this bird?,"{""ImportId"":""40_QID34_TEXT""}",comgal1,bird_name_guess.comgal1
40_Q38_19,Have you ever seen a live bird of this kind outside of a zoo/museum? - comgal1 - .,"{""ImportId"":""40_QID42_19""}",comgal1,bird_seen_before.comgal1
41_Q30,comgra - What is the name of this bird?,"{""ImportId"":""41_QID34_TEXT""}",comgra,bird_name_guess.comgra
41_Q38_19,Have you ever seen a live bird of this kind outside of a zoo/museum? - comgra - .,"{""ImportId"":""41_QID42_19""}",comgra,bird_seen_before.comgra
42_Q30,comloo - What is the name of this bird?,"{""ImportId"":""42_QID34_TEXT""}",comloo,bird_name_guess.comloo
42_Q38_19,Have you ever seen a live bird of this kind outside of a zoo/museum? - comloo - .,"{""ImportId"":""42_QID42_19""}",comloo,bird_seen_before.comloo
43_Q30,comred - What is the name of this bird?,"{""ImportId"":""43_QID34_TEXT""}",comred,bird_name_guess.comred
43_Q38_19,Have you ever seen a live bird of this kind outside of a zoo/museum? - comred - .,"{""ImportId"":""43_QID42_19""}",comred,bird_seen_before.comred
44_Q30,daejun - What is the name of this bird?,"{""ImportId"":""44_QID34_TEXT""}",daejun,bird_name_guess.daejun
44_Q38_19,Have you ever seen a live bird of this kind outside of a zoo/museum? - daejun - .,"{""ImportId"":""44_QID42_19""}",daejun,bird_seen_before.daejun
45_Q30,doccor - What is the name of this bird?,"{""ImportId"":""45_QID34_TEXT""}",doccor,bird_name_guess.doccor
45_Q38_19,Have you ever seen a live bird of this kind outside of a zoo/museum? - doccor - .,"{""ImportId"":""45_QID42_19""}",doccor,bird_seen_before.doccor
46_Q30,dowwoo - What is the name of this bird?,"{""ImportId"":""46_QID34_TEXT""}",dowwoo,bird_name_guess.dowwoo
46_Q38_19,Have you ever seen a live bird of this kind outside of a zoo/museum? - dowwoo - .,"{""ImportId"":""46_QID42_19""}",dowwoo,bird_seen_before.dowwoo
47_Q30,dunlin - What is the name of this bird?,"{""ImportId"":""47_QID34_TEXT""}",dunlin,bird_name_guess.dunlin
47_Q38_19,Have you ever seen a live bird of this kind outside of a zoo/museum? - dunlin - .,"{""ImportId"":""47_QID42_19""}",dunlin,bird_seen_before.dunlin
48_Q30,eargre - What is the name of this bird?,"{""ImportId"":""48_QID34_TEXT""}",eargre,bird_name_guess.eargre
48_Q38_19,Have you ever seen a live bird of this kind outside of a zoo/museum? - eargre - .,"{""ImportId"":""48_QID42_19""}",eargre,bird_seen_before.eargre
49_Q30,easblu - What is the name of this bird?,"{""ImportId"":""49_QID34_TEXT""}",easblu,bird_name_guess.easblu
49_Q38_19,Have you ever seen a live bird of this kind outside of a zoo/museum? - easblu - .,"{""ImportId"":""49_QID42_19""}",easblu,bird_seen_before.easblu
50_Q30,easkin - What is the name of this bird?,"{""ImportId"":""50_QID34_TEXT""}",easkin,bird_name_guess.easkin
50_Q38_19,Have you ever seen a live bird of this kind outside of a zoo/museum? - easkin - .,"{""ImportId"":""50_QID42_19""}",easkin,bird_seen_before.easkin
